CV(RMSD),K,NRMSD,RMSD,RSS,aic,bic,filename,folder,has_lag,has_nu,lag,max_growth_rate,model,nu,q0,r,strain,v,w,weighted_aic,weighted_bic,y0
3.2268012165058684,0.47640620696972436,2.22728137310951,1.1555135384274589,4443.58399676388,974.0930416828226,998.533548890587,Tecan_280715,,False,True,3.621736189170586,0.6117580972097533,Model(Richards),1.0934960197113022,0,0.6589146816688329,G,0,1.0,0.7814714485883857,0.8867850675435222,0.005724935470917902
2.262879688701894,0.5936843103849805,1.5527889458266357,1.0563622809919289,3713.719422241823,376.9588434910281,401.39935069879255,Tecan_280715,,False,True,2.7117955840198515,1.0196721284638344,Model(Richards),0.3806627109531364,0,1.600870967897836,RG,0,1.5011151951501949,0.7857363772805844,0.9894944399297481,0.0016820365206082766
2.247844745610476,0.5652280054891252,1.4469797526720822,1.0157797857720747,3219.242748331465,109.69962160302045,133.88197472623455,Tecan_280715,,False,True,2.452954294045998,1.2261256656077906,Model(Richards),0.2623946225027076,0,2.3747696936882408,R,0,1.7677034405757033,0.7857457272152057,0.989150478549629,0.0008287187140247898
